"","pair","date","label","pair_index","sma14","sma50","sma200","c14vs50","c50vs200","c14vs200","ema","momentum","macd","cci","vhf","rsi"
"X1.1","MCHI US Equity_EWH US Equity",2012-01-25,"act_1",1.71973449164175,1.00608492180988,1.00062881964303,1.00450757733917,1.0054526734187,0.996138647648217,1.00157026637359,1.00446094856852,-0.00994103085743148,0.337442755683179,-14.2648922591674,0.221409394373587,48.7452540292396
"X1.2","MCHI US Equity_EWH US Equity",2012-01-26,"act_1",1.7147364660311,1.00899095784103,1.00354562786946,1.00718241118539,1.00542609107184,0.996389151284279,1.00179564956214,1.00640353969817,-0.00167383107043007,0.440041872363043,-32.5638542757785,0.217707711718873,47.2450168026528
"X1.3","MCHI US Equity_EWH US Equity",2012-01-27,"act_1",1.72725161705937,1.00309770957983,0.996290873046437,0.999638900120528,1.00683217794878,0.996650763517019,1.00346005888615,0.999229914014738,0.00751712541761584,0.525558972931648,15.6850893657053,0.212862416294259,51.2878618274535
"X1.4","MCHI US Equity_EWH US Equity",2012-01-30,"act_1",1.70505287003322,1.01572885114074,1.00895246110367,1.01232964132383,1.00671626295421,0.996663952054443,1.00335780923343,1.01060737359663,-0.00968359599788182,0.570066802558623,-77.1250941865925,0.205095564262225,44.7387224437435
"X1.5","MCHI US Equity_EWH US Equity",2012-01-31,"act_1",1.71347594150991,1.00958822917773,1.00379390092661,1.00709230464525,1.00577242823032,0.996724824821485,1.00247834733814,1.00488752303968,-0.0137756755494614,0.58193449323041,-48.0680490211249,0.199779414434586,47.4792085760979
"X1.6","MCHI US Equity_EWH US Equity",2012-02-01,"act_1",1.73341475642809,0.997349103032082,0.992048883780236,0.995313728213654,1.00534269967791,0.996719783580925,1.00204495804763,0.994218190711636,0.0283618863948698,0.564869965580261,34.188953834886,0.193200288153119,53.3737583273409
"X1.7","MCHI US Equity_EWH US Equity",2012-02-02,"act_1",1.7430498226409,0.992302966898048,0.986375653288038,0.989634560626807,1.00600918482756,0.996706958842763,1.00269635517736,0.990226119243864,0.0295738811309916,0.525436389565541,70.9205267020745,0.193050645688555,55.9467443673648
"X1.8","MCHI US Equity_EWH US Equity",2012-02-03,"act_2",1.74919942209446,0.98911063051593,0.983262530658016,0.986004768284421,1.00594764844136,0.997218839386369,1.00314994646214,0.988512173678636,0.0157846656663714,0.46556304288122,90.2493429166543,0.19116132090519,57.5566252280764
"X1.9","MCHI US Equity_EWH US Equity",2012-02-06,"act_2",1.7350232399615,0.996379728505661,0.991515024676153,0.993878588332379,1.00490633395202,0.997621878885437,1.00251654498109,0.997043723695403,-0.00802658267940037,0.397844261591081,17.0756504825952,0.185144442325894,52.7692871952802
"X1.10","MCHI US Equity_EWH US Equity",2012-02-07,"act_2",1.73757077091048,0.994155848550173,0.990358132992759,0.992234489909714,1.00383468911992,0.998108958178701,1.00193639574113,0.996170991163584,-0.0116286511839783,0.321601305879789,25.9535987602112,0.185197107406893,53.5175135336238
"X1.11","MCHI US Equity_EWH US Equity",2012-02-08,"act_2",1.74965629896816,0.987633384356979,0.984279600476632,0.985223858462205,1.00340734876424,0.999041580268827,1.00244566336278,0.9907180579882,0.0146330590066603,0.243067870380771,87.8101321187034,0.184869683105756,56.9979113496873
"X1.12","MCHI US Equity_EWH US Equity",2012-02-09,"act_2",1.7471744108739,0.990228474738841,0.986374165488447,0.986483098463742,1.00390755291983,0.999889574412916,1.00379669583892,0.993175336449514,0.00960363996341829,0.180965053378369,75.2410312266492,0.188729981243767,56.0694431638406
"X1.13","MCHI US Equity_EWH US Equity",2012-02-10,"act_2",1.70702420184608,1.01257140855876,1.00974018033328,1.00940969057392,1.00280391756278,1.00032740894252,1.00313224453298,1.01433068178833,-0.0426320971220775,0.129229155630197,-121.789433510926,0.171658253485822,43.6749049148238
"X1.14","MCHI US Equity_EWH US Equity",2012-02-13,"act_2",1.72543464071679,1.00214082624502,0.999437797912944,0.998453526261681,1.00270454883507,1.00098579615913,1.00369301112806,1.00304004417845,-0.0217397701571145,0.0901883358065706,-28.4320525124632,0.167266033599851,49.2182600236041
"X1.15","MCHI US Equity_EWH US Equity",2012-02-14,"act_1",1.69550200950616,1.01881188887633,1.0169180819167,1.01580292233591,1.00186230040876,1.00109781095945,1.00296215582202,1.01798147377106,-0.0115221923399234,0.0420413149117999,-156.1751039217,0.156396089040717,41.9836319404384
"X1.16","MCHI US Equity_EWH US Equity",2012-02-15,"act_1",1.69995660193121,1.01552115998657,1.01396135477472,1.01280290235504,1.00153832806793,1.00114380835302,1.00268389597345,1.01327208086587,-0.0254780387855724,0.00669618655661145,-122.211099907033,0.160331229718697,43.3189226056065
"X1.17","MCHI US Equity_EWH US Equity",2012-02-16,"act_2",1.70519881182301,1.01147542913314,1.01050361799135,1.00933730230554,1.00096170971037,1.00115552618847,1.0021183471796,1.00880275735617,0.00969680231684888,-0.0142007103947362,-87.028378906696,0.160917072704575,44.9253752824743
"X1.18","MCHI US Equity_EWH US Equity",2012-02-17,"act_2",1.70121779240763,1.01368136021509,1.01253976115581,1.01134073377914,1.00112746096803,1.00118558200676,1.00231437967222,1.00967499562178,0.00126119047641615,-0.0316769775579107,-96.1428693960386,0.169146038318603,43.9076407391586
"X1.19","MCHI US Equity_EWH US Equity",2012-02-21,"act_1",1.68844364630824,1.0202915261701,1.01943969502802,1.0185908680966,1.00083558757447,1.00083333451929,1.00166961841773,1.01500531652863,-0.0167551655147626,-0.069652455813642,-133.47925955717,0.19591302473828,40.7199763864051
"X1.20","MCHI US Equity_EWH US Equity",2012-02-22,"act_2",1.70537692727643,1.00898635084141,1.00898232791424,1.00818725429752,1.00000398711361,1.00078861700873,1.00079260726665,1.00427004545695,0.00415913486879504,-0.119545523009239,-59.3566016311632,0.190764316371694,46.2867996338106
"X1.21","MCHI US Equity_EWH US Equity",2012-02-23,"act_2",1.70435698396266,1.0079685679911,1.00933890562775,1.0085373913161,0.998642341408812,1.00079472939581,0.999435991833429,1.00422156254445,0.0159133376544163,-0.179442495714945,-57.9508788894587,0.199734644076925,46.0065543090867
"X1.22","MCHI US Equity_EWH US Equity",2012-02-24,"act_2",1.70377068966131,1.0064108799476,1.00935672050584,1.00862787316059,0.997081467336181,1.00072261273423,0.997801971101546,1.00395818018656,-0.00160623761511469,-0.236296106826408,-56.4871473957394,0.205621289565029,45.8347632584107
"X1.23","MCHI US Equity_EWH US Equity",2012-02-27,"act_2",1.69209238228185,1.01154457469309,1.01611669516409,1.01528637297788,0.995500398238937,1.00081782067435,0.996314539045945,1.00943556850922,-0.012264601680807,-0.315255891819214,-90.7407924112743,0.206334193377247,42.4356864940502
"X1.24","MCHI US Equity_EWH US Equity",2012-02-28,"act_2",1.68907657816444,1.01129991401727,1.0176868214484,1.01684746380892,0.993724093408183,1.00082545088556,0.994544363841085,1.00973950514251,-0.0146941114968739,-0.400783366071454,-95.4647913459141,0.185662919563297,41.5781762298352
"X1.25","MCHI US Equity_EWH US Equity",2012-02-29,"act_2",1.67859226405944,1.01459242499672,1.02374305311257,1.0229292767093,0.991061596864531,1.00079553535304,0.991850021401874,1.01390673606334,-0.0135001182224168,-0.490100092943321,-117.489969568976,0.218479573571262,38.6538712243315
"X1.26","MCHI US Equity_EWH US Equity",2012-03-01,"act_2",1.67856341976174,1.01169022909745,1.02332954796094,1.02267523890654,0.988626030698829,1.00063980140469,0.989258555021986,1.01206760442721,-0.0105131584026987,-0.599800314967479,-108.444073173558,0.235334810355201,38.6458181007041
"X1.27","MCHI US Equity_EWH US Equity",2012-03-02,"act_1",1.68105364604584,1.00908806508551,1.02141009261196,1.02092062159997,0.987936258300581,1.00047944081218,0.988409915262639,1.00915926232629,0.00246138198640189,-0.702218071078727,-96.1572229496119,0.242703014281426,39.8116800244602
"X1.28","MCHI US Equity_EWH US Equity",2012-03-05,"act_1",1.6677703918878,1.01465543716813,1.0288692393899,1.02874661494929,0.986185025581872,1.00011919790436,0.986302576770231,1.01490397211915,-0.0107930278739399,-0.791832552917191,-140.212261319531,0.279531980806332,35.8936242471527
"X1.29","MCHI US Equity_EWH US Equity",2012-03-06,"act_1",1.65352057848174,1.02158608995566,1.03699512909017,1.03729167502897,0.985140683208388,0.999714115184822,0.984859046446244,1.02049690522467,-0.0275330675640952,-0.876721815981284,-173.185251873324,0.316376487235643,32.2292510237838
"X1.30","MCHI US Equity_EWH US Equity",2012-03-07,"act_1",1.65089808803557,1.02108631361628,1.03783338224056,1.03860947977202,0.983863432309216,0.999252753275823,0.983128243582385,1.01916892342153,-0.0168723038522312,-0.971489473856227,-161.774929390368,0.327567772658123,31.5900721282545
"X1.31","MCHI US Equity_EWH US Equity",2012-03-08,"act_2",1.66779757160603,1.00913801192872,1.02667779007883,1.02783024805251,0.982915985599759,0.998878746781521,0.981813887887411,1.00766295719136,0.0142769931242863,-1.06092443199677,-93.4838497750246,0.32287248209531,39.8663318730875
"X1.32","MCHI US Equity_EWH US Equity",2012-03-09,"act_2",1.68715579202838,0.996963946695945,1.01446386008403,1.0158574677199,0.98274959406968,0.998628146486933,0.981401405586591,0.99662100094693,0.0362577039928098,-1.12994233410205,-8.90668599756389,0.325898975099628,47.6753744319444
"X1.33","MCHI US Equity_EWH US Equity",2012-03-12,"act_2",1.67425695626872,1.00403952679704,1.02182527982915,1.02342665702564,0.982594134845558,0.998435278986044,0.981056649154576,1.00372595906173,0.00645938466269547,-1.17410728737006,-59.6987633175245,0.321155546002327,43.6114092406768
"X1.34","MCHI US Equity_EWH US Equity",2012-03-13,"act_2",1.6789657930183,1.00009997791572,1.0186754086966,1.02033369730011,0.981765113182962,0.998374758563889,0.980169507840489,1.00078944986057,-0.00818999901008066,-1.21161169545008,-30.6369718252764,0.337890214257463,45.4398432099838
"X1.35","MCHI US Equity_EWH US Equity",2012-03-14,"act_2",1.65148079920646,1.01445731793196,1.03509038628685,1.03691526697998,0.980066409051575,0.998240086966365,0.978341577404456,1.01511919447401,-0.0227761570622624,-1.2345286537566,-142.964382920272,0.318442444324167,37.7462599313681
"X1.36","MCHI US Equity_EWH US Equity",2012-03-15,"act_2",1.66068018164585,1.00698431114659,1.02882642017333,1.03086553993017,0.978769879351404,0.99802193430874,0.97683380823342,1.00822979252343,-0.0182856113724488,-1.25554643321988,-91.8342275372699,0.315341402192708,41.3270392208031
"X1.37","MCHI US Equity_EWH US Equity",2012-03-16,"act_2",1.6557518128721,1.00841389440809,1.03134212138967,1.03358962099068,0.977768553706806,0.997825539696442,0.975642434800703,1.00973336243732,0.00427101366563565,-1.25979137973792,-103.937908769199,0.324936407319635,39.999652318262
"X1.38","MCHI US Equity_EWH US Equity",2012-03-19,"act_2",1.63480758511239,1.01896198201852,1.04356948577298,1.04646272252149,0.976419870368058,0.997235222348353,0.97372028653184,1.01964689454489,-0.025872596533459,-1.25012588986085,-168.364983254586,0.356310533583258,34.8733651509028
"X1.39","MCHI US Equity_EWH US Equity",2012-03-20,"act_2",1.62628151094012,1.02200651215579,1.04822042912077,1.05150864079109,0.974991980468301,0.996872862910713,0.971943046884421,1.02166023367302,-0.0294703019319746,-1.23642781152404,-169.721804411577,0.3792502702565,33.0182527030272
"X1.40","MCHI US Equity_EWH US Equity",2012-03-21,"act_2",1.63528413910093,1.01448970116068,1.04147131281473,1.04529614199872,0.974092794182561,0.996340913325597,0.970528504219735,1.01389765092782,0.000476553988544959,-1.21805003950435,-122.195208762331,0.304815622400123,36.8388503038762
"X1.41","MCHI US Equity_EWH US Equity",2012-03-22,"act_2",1.6268679036076,1.01735887944247,1.04545599816985,1.05025771669998,0.973124532475231,0.995428056891394,0.968675462475166,1.01659044622881,0.000586392667479618,-1.19864292000599,-134.972634209218,0.337766906696615,34.8382322402126
"X1.42","MCHI US Equity_EWH US Equity",2012-03-23,"act_2",1.63719580181833,1.00960716261834,1.03749990694567,1.04320751428502,0.973115424743077,0.994528790043029,0.96779130594194,1.00882050317216,0.0019116627174014,-1.17163097876712,-89.0302248490839,0.277068564983998,39.2016675252212
"X1.43","MCHI US Equity_EWH US Equity",2012-03-26,"act_1",1.62429323735012,1.01634169430759,1.04441932130837,1.05104284728655,0.973116518980513,0.993698138952866,0.966984073895227,1.0145895215567,-0.00257466625748637,-1.15218444812965,-122.335086627111,0.302052593148456,35.9618094280053
"X1.44","MCHI US Equity_EWH US Equity",2012-03-27,"act_1",1.61795236033535,1.01887034195173,1.04697977891303,1.05470686312695,0.97315188170063,0.992673713916098,0.966022292612204,1.01609033765454,-0.0192434414829892,-1.14870155774899,-130.844299919665,0.323401131175675,34.4547561565473
"X1.45","MCHI US Equity_EWH US Equity",2012-03-28,"act_1",1.6083295402822,1.02232528653602,1.05142307952935,1.06054847921157,0.972325324068062,0.991395584585624,0.963959033061863,1.0192137596311,-0.0159636970679131,-1.1652488300657,-144.510822798069,0.353273178472463,32.246224350477
"X1.46","MCHI US Equity_EWH US Equity",2012-03-29,"act_1",1.62069639773918,1.01159529990213,1.04172877638374,1.05203553687701,0.971073587324502,0.990203030095484,0.961560008614414,1.00991168968784,0.00274403740383367,-1.2037734379889,-90.8403605329937,0.342808523793296,37.7671960414489
"X1.47","MCHI US Equity_EWH US Equity",2012-03-30,"act_1",1.63532979251282,1.00084298244789,1.03111210025822,1.04224187220465,0.97064420269847,0.989321315672259,0.9602789996633,1.00075808500815,0.0270002522306159,-1.23791257029249,-36.4985398330116,0.340571791951351,43.6213862498621
"X1.48","MCHI US Equity_EWH US Equity",2012-04-02,"act_1",1.64065940064412,0.995924062787834,1.02681960832249,1.03846678942138,0.969911418437818,0.98878425269105,0.959033137056554,0.997839545136637,0.0199630029049374,-1.25729983662563,-13.8294464771476,0.3512977254152,45.627527084317
"X1.49","MCHI US Equity_EWH US Equity",2012-04-03,"act_1",1.64140177223021,0.995035020111561,1.02527960955473,1.03765453307269,0.970501130461081,0.988074139201879,0.958927069074784,0.997736477478449,0.00607197971738915,-1.27655933098164,-9.07209158478538,0.34950778669586,45.9162125166118
"X1.50","MCHI US Equity_EWH US Equity",2012-04-04,"act_1",1.6440758538347,0.992695208204941,1.02273205665506,1.03564245182175,0.970630774449019,0.987533926265791,0.958530819646045,0.996631841972363,0.00341645319058537,-1.28168805084244,2.36826702449961,0.304414137308974,47.00764531274
"X1.51","MCHI US Equity_EWH US Equity",2012-04-05,"act_1",1.65597259903819,0.985573066496102,1.01461451862977,1.02790945171104,0.971376861260682,0.9870660464702,0.958813118077213,0.990875642810202,0.0145708268079832,-1.27262186179527,52.8153243643486,0.293221211001091,51.6795998825311
"X1.52","MCHI US Equity_EWH US Equity",2012-04-09,"act_1",1.64370305328867,0.993316511632027,1.0213238758811,1.03529148596793,0.972577392039419,0.98650852414402,0.959455887636647,0.998502494451814,-0.000372800546033947,-1.24622466755888,14.303991241309,0.27693996616867,47.0704701045119
