"","date","etf","w","cluster"
"97",2019-02-28,"MCHI US Equity",0.333333333333333,1
"98",2019-03-07,"MCHI US Equity",0.333333333333333,1
"99",2019-03-14,"MCHI US Equity",0.333333333333333,1
"100",2019-03-21,"MCHI US Equity",0.333333333333333,1
"101",2019-03-28,"MCHI US Equity",0.333333333333333,1
"102",2019-04-04,"MCHI US Equity",0.333333333333333,1
"103",2019-04-11,"MCHI US Equity",0.333333333333333,1
"104",2019-04-18,"MCHI US Equity",0.333333333333333,1
"105",2019-04-25,"MCHI US Equity",0.333333333333333,1
"106",2019-05-02,"MCHI US Equity",0.333333333333333,1
"107",2019-05-09,"MCHI US Equity",0.333333333333333,1
"108",2019-05-16,"MCHI US Equity",0.333333333333333,1
"109",2019-05-23,"MCHI US Equity",0,1
"110",2019-05-30,"MCHI US Equity",0.333333333333333,1
"111",2019-06-06,"MCHI US Equity",0.333333333333333,1
"112",2019-06-13,"MCHI US Equity",0.333333333333333,1
"113",2019-06-20,"MCHI US Equity",0.333333333333333,1
"114",2019-06-27,"MCHI US Equity",0.333333333333333,1
"115",2019-07-11,"MCHI US Equity",0.333333333333333,1
"116",2019-07-18,"MCHI US Equity",0.333333333333333,1
"117",2019-07-25,"MCHI US Equity",0.333333333333333,1
"118",2019-08-01,"MCHI US Equity",0.333333333333333,1
"119",2019-08-08,"MCHI US Equity",0.333333333333333,1
"120",2019-08-15,"MCHI US Equity",0.333333333333333,1
"121",2019-08-22,"MCHI US Equity",0.333333333333333,1
"122",2019-08-29,"MCHI US Equity",0.333333333333333,1
"123",2019-09-05,"MCHI US Equity",0.333333333333333,1
"124",2019-09-12,"MCHI US Equity",0.166666666666667,1
"125",2019-09-19,"MCHI US Equity",0.333333333333333,1
"126",2019-09-26,"MCHI US Equity",0.333333333333333,1
"127",2019-10-03,"MCHI US Equity",0.333333333333333,1
"128",2019-10-10,"MCHI US Equity",0.333333333333333,1
"129",2019-10-17,"MCHI US Equity",0.333333333333333,1
"130",2019-10-24,"MCHI US Equity",0.333333333333333,1
"131",2019-10-31,"MCHI US Equity",0.333333333333333,1
"132",2019-11-07,"MCHI US Equity",0.333333333333333,1
"133",2019-01-03,"EWG US Equity",0.5,2
"134",2019-01-10,"EWG US Equity",0.333333333333333,2
"135",2019-01-17,"EWG US Equity",0.333333333333333,2
"136",2019-01-24,"EWG US Equity",0.333333333333333,2
"137",2019-01-31,"EWG US Equity",0.333333333333333,2
"138",2019-02-07,"EWG US Equity",0.5,2
"139",2019-02-14,"EWG US Equity",0.5,2
"140",2019-02-21,"EWG US Equity",0.5,2
"141",2019-02-28,"EWG US Equity",0.5,2
"142",2019-03-07,"EWG US Equity",0.5,2
"143",2019-03-14,"EWG US Equity",0.333333333333333,2
"144",2019-03-21,"EWG US Equity",0.333333333333333,2
"145",2019-03-28,"EWG US Equity",0.5,2
"146",2019-04-04,"EWG US Equity",0.5,2
"147",2019-04-11,"EWG US Equity",0.333333333333333,2
"148",2019-04-18,"EWG US Equity",0.333333333333333,2
"149",2019-04-25,"EWG US Equity",0.333333333333333,2
"150",2019-05-02,"EWG US Equity",0.166666666666667,2
"151",2019-05-09,"EWG US Equity",0.166666666666667,2
"152",2019-05-16,"EWG US Equity",0.166666666666667,2
"153",2019-05-23,"EWG US Equity",0.333333333333333,2
"154",2019-05-30,"EWG US Equity",0.333333333333333,2
"155",2019-06-06,"EWG US Equity",0.333333333333333,2
"156",2019-06-13,"EWG US Equity",0.333333333333333,2
"157",2019-06-20,"EWG US Equity",0.333333333333333,2
"158",2019-06-27,"EWG US Equity",0.333333333333333,2
"159",2019-07-11,"EWG US Equity",0.333333333333333,2
"160",2019-07-18,"EWG US Equity",0.333333333333333,2
"161",2019-07-25,"EWG US Equity",0.333333333333333,2
"162",2019-08-01,"EWG US Equity",0.333333333333333,2
"163",2019-08-08,"EWG US Equity",0.333333333333333,2
"164",2019-08-15,"EWG US Equity",0.333333333333333,2
"165",2019-08-22,"EWG US Equity",0.333333333333333,2
"166",2019-08-29,"EWG US Equity",0.333333333333333,2
"167",2019-09-05,"EWG US Equity",0.333333333333333,2
"168",2019-09-12,"EWG US Equity",0.333333333333333,2
"169",2019-09-19,"EWG US Equity",0.333333333333333,2
"170",2019-09-26,"EWG US Equity",0.333333333333333,2
"171",2019-10-03,"EWG US Equity",0.333333333333333,2
"172",2019-10-10,"EWG US Equity",0.333333333333333,2
"173",2019-10-17,"EWG US Equity",0.333333333333333,2
"174",2019-10-24,"EWG US Equity",0.166666666666667,2
"175",2019-10-31,"EWG US Equity",0.166666666666667,2
"176",2019-11-07,"EWG US Equity",0.166666666666667,2
"177",2019-01-03,"EWQ US Equity",0.333333333333333,2
"178",2019-01-10,"EWQ US Equity",0.333333333333333,2
"179",2019-01-17,"EWQ US Equity",0.5,2
"180",2019-01-24,"EWQ US Equity",0.5,2
"181",2019-01-31,"EWQ US Equity",0.333333333333333,2
"182",2019-02-07,"EWQ US Equity",0.333333333333333,2
"183",2019-02-14,"EWQ US Equity",0.333333333333333,2
"184",2019-02-21,"EWQ US Equity",0.333333333333333,2
"185",2019-02-28,"EWQ US Equity",0.333333333333333,2
"186",2019-03-07,"EWQ US Equity",0.333333333333333,2
"187",2019-03-14,"EWQ US Equity",0.333333333333333,2
"188",2019-03-21,"EWQ US Equity",0.333333333333333,2
"189",2019-03-28,"EWQ US Equity",0.333333333333333,2
"190",2019-04-04,"EWQ US Equity",0.333333333333333,2
"191",2019-04-11,"EWQ US Equity",0.333333333333333,2
"192",2019-04-18,"EWQ US Equity",0.333333333333333,2
"193",2019-04-25,"EWQ US Equity",0.333333333333333,2
"194",2019-05-02,"EWQ US Equity",0.5,2
"195",2019-05-09,"EWQ US Equity",0.5,2
"196",2019-05-16,"EWQ US Equity",0.5,2
"197",2019-05-23,"EWQ US Equity",0.333333333333333,2
"198",2019-05-30,"EWQ US Equity",0.333333333333333,2
"199",2019-06-06,"EWQ US Equity",0.333333333333333,2
"200",2019-06-13,"EWQ US Equity",0.333333333333333,2
"201",2019-06-20,"EWQ US Equity",0.333333333333333,2
"202",2019-06-27,"EWQ US Equity",0.333333333333333,2
"203",2019-07-11,"EWQ US Equity",0.333333333333333,2
"204",2019-07-18,"EWQ US Equity",0.333333333333333,2
"205",2019-07-25,"EWQ US Equity",0.333333333333333,2
"206",2019-08-01,"EWQ US Equity",0.333333333333333,2
"207",2019-08-08,"EWQ US Equity",0.333333333333333,2
"208",2019-08-15,"EWQ US Equity",0.333333333333333,2
"209",2019-08-22,"EWQ US Equity",0.333333333333333,2
"210",2019-08-29,"EWQ US Equity",0.333333333333333,2
"211",2019-09-05,"EWQ US Equity",0.333333333333333,2
"212",2019-09-12,"EWQ US Equity",0.333333333333333,2
"213",2019-09-19,"EWQ US Equity",0.333333333333333,2
"214",2019-09-26,"EWQ US Equity",0.333333333333333,2
"215",2019-10-03,"EWQ US Equity",0.333333333333333,2
"216",2019-10-10,"EWQ US Equity",0.333333333333333,2
"217",2019-10-17,"EWQ US Equity",0.333333333333333,2
"218",2019-10-24,"EWQ US Equity",0.5,2
"219",2019-10-31,"EWQ US Equity",0.5,2
"220",2019-11-07,"EWQ US Equity",0.5,2
"221",2019-01-03,"EWU US Equity",0.166666666666667,2
